"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"UQCRH",17164,13893,16935,17599,17665,40611,16420,28581,24356,22936,23086,2935,18954,50490,15312,62138,44808,56633,21610,38554,65962,26169,55234,45797,20985,15301,15188,23572,21784,43175,17883,13541,29356,37212,10450,40027
"UQCRQ",2399,4355,2975,2812,2864,9683,2594,3833,6332,4073,7105,385,4300,10788,6158,6722,9351,4316,3294,4068,16175,6900,13075,7172,9194,4055,3192,5565,10824,10043,6836,5439,4606,8384,4860,7758
"URAD",16,0,1,0,0,0,0,2,1,67,4,1,0,0,4,2,0,22,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2,0,2,1
"URB1",8202,9084,10219,6843,16354,12093,18732,16039,7304,12490,6164,21147,9575,18581,26811,12423,17602,8320,7262,8304,38944,10859,14014,14327,31127,17752,8092,6459,5890,12703,18796,7965,4873,13215,7268,17927
"URB2",4657,2926,4368,4396,2536,4909,6160,5236,5137,3443,5707,9158,2955,5416,4734,3257,8084,7279,2916,5003,12198,5569,7203,8784,4313,3463,2443,2116,3640,6844,14059,7893,5658,3790,2621,3830
"URGCP",9011,5902,5165,11928,3890,14075,5619,11395,4830,9684,5462,8022,2939,11978,15035,10980,5904,17117,16305,11079,14948,11777,27288,10231,9406,18441,11415,8548,16423,8887,10650,12220,7474,11950,8733,10061
"URI1",16591,10133,9255,38751,5286,13571,19646,12520,10276,7985,13716,14135,7635,27936,5890,6073,22983,9227,5869,12840,33382,9782,11525,20401,18293,30610,16392,11076,7830,11756,18140,10297,7970,9941,26897,12227
"URM1",7926,9683,3680,6418,2363,9235,5565,19308,8543,9217,7920,3029,7416,13754,6270,16195,9917,7594,9910,7451,14855,6713,10443,7951,7601,8053,8256,6789,20235,8342,6409,8555,8403,5937,10299,9251
"UROC1",18,401,0,216,0,0,5,2,3,1,85,8,5,18,2,4,0,10,1,6,6,7,0,3,0,6,0,0,22,18,3,3,0,3,9,2
"UROD",4279,18034,11267,5804,2338,3859,4226,4636,19139,3161,23138,3043,5502,9656,2076,7135,14162,7467,2263,3877,8610,3431,8720,7418,8230,3975,3202,6577,7193,13734,8351,3293,5656,3604,5262,8539
"UROS",4603,5918,2910,1945,2500,6821,4159,2868,5298,5039,4791,2806,2129,5245,6116,4235,4322,2351,3123,3225,9448,5920,12722,3863,8665,3086,1929,4570,5584,3198,3603,3229,3523,3498,2881,4504
"USB1",6752,9985,13579,5527,2878,10653,5908,5836,5923,3588,16709,6914,6476,6854,5435,7038,8688,5614,3143,3999,14210,6178,9053,10111,15414,10289,6280,7288,22208,13079,12203,7521,6413,5824,3667,9861
"USE1",2528,2079,682,2797,1096,1658,2896,1881,2582,1299,3638,371,660,5498,1654,1352,2248,3380,1177,3182,3064,2006,2032,2299,4616,2502,703,2632,2629,3442,1698,793,1781,1899,1321,2718
"USF1",7893,5669,4247,5441,1930,5813,3775,3987,6151,3185,9312,2047,2427,6442,4534,6218,6464,7001,3736,5371,8795,7176,5972,5323,5673,5240,2608,5182,7726,6653,10367,2502,4506,5290,4336,4698
"USF2",17749,8111,10737,17554,4835,11183,15253,10882,32424,6184,9968,6087,6716,63855,12267,11261,12104,9400,5638,12458,28400,9292,13345,25810,21583,31296,20969,16925,15219,16986,23450,9091,6140,11402,34430,10294
"USH1C",10874,12,39,1153,1521,16784,194,10052,15569,26518,355,17044,707,77,1,10508,17,2551,37095,10902,15317,20108,15341,10070,25,58,14803,9,23,11,1663,1218,18,8095,5,4255
"USH1G",2495,11,1,301,93,6,35,10,32,45,30,46,20,52,483,61,140,23,18,183,80,12,27,5,32,5697,22,27,405,12,18,13,13,14,93,15
"USH2A",13,68,14,212,88,2,14,22,734,15,15,28,11,29,3,30,14,32,32,65,30,51,29,25,12,60,56,16,23,40,32,40,26,54,18,20
"USHBP1",20,19,3,112,8,12,170,8,107,10,928,8,2,25,29,24,17,14,7,13,15,23,6,5,13,27,11,113,10,19,15,10,3,9,2,20
"USO1",13163,17574,7505,9499,11688,24939,17993,17047,12931,13539,39878,14773,14831,17130,12129,16266,22098,8107,11735,11255,32057,15439,16091,9503,14613,20874,11473,18347,6245,20835,22489,14782,13518,15747,8933,9393
"USP1",10291,24349,17585,11615,6676,16100,20044,14783,21933,7327,10908,12385,10951,18446,9124,20204,22200,17690,5697,19623,28402,8892,20231,14082,8293,7395,8353,24352,7356,26072,22328,15788,14034,13329,11220,18329
"USP10",17788,20701,15616,9578,11589,12785,8302,16330,27421,13605,38401,10548,9689,12673,16338,11712,17678,14569,8801,16404,31472,14158,22991,19714,16004,16617,11211,13789,28198,22719,26388,20965,10129,16918,10877,11063
"USP11",12730,14947,8087,29819,2607,2403,21059,7440,25588,6228,13373,10978,3167,29219,19263,5078,6161,6266,2697,4142,5162,3128,5260,11172,24162,9371,4352,17835,21502,11907,11893,6748,4404,7223,11015,3553
