"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"ACBD5",3483,7967,5159,5302,6184,14635,6185,21288,7851,12914,6330,5216,4976,4687,10699,5726,9169,6110,12405,7017,14071,11854,12366,6090,6962,5274,5645,4201,3996,7540,9148,5348,4287,13051,2351,8270
"ACBD6",5339,3757,2948,6305,2897,3183,6607,5775,5718,3706,5265,1856,2851,5276,6753,3812,9628,3918,2052,4317,10455,5738,5408,5104,6692,2909,3905,4998,10394,4742,7632,3382,8370,3216,3777,5906
"ACBD7",146,174,92,735,125,19,386,267,292,2,125,197,295,558,250,273,305,105,22,63,657,3,55,242,49,35,38,192,131,261,239,3,346,10,516,215
"ACCS",1626,985,308,2253,491,1266,3,2586,919,364,1574,1444,1129,1112,129,2317,537,779,2164,1802,1064,2624,1235,703,1771,3166,3,3906,773,1583,1277,254,574,852,900,1122
"ACD",4404,4894,4845,2841,2615,3391,4476,5111,3548,1874,3307,796,2267,3223,3144,3021,2496,2771,1565,4812,8673,2045,4975,4293,8108,3215,2749,2564,10531,5696,3316,4842,4807,4353,2192,6490
"ACE",1359,52,73,1181,1003,1137,598,11,14975,1633,3534,626,10,1147,1092,12,41,444,4199,10,1474,11,230,977,209,4019,12733,143,314,14,9,343,135,13047,983,3341
"ACE2",2589,2,6,36,31,45,64,7,37,1269,4,9200,6,115,486,155,7,37,665,3002,138,399,2920,46,16,28849,88,963,2006,12,14,146,21,3263,224,186
"ACER2",266,296,70,382,2703,4388,200,5756,522,2791,225,189,156,2136,92,4943,138,0,694,1139,470,1232,51,858,217,1626,571,66,912,327,1385,929,296,1546,31,225
"ACER3",5586,9419,1945,4151,3722,4190,5907,4337,4484,3140,7728,4785,3911,3334,9897,6980,2939,3438,1553,4222,10072,4878,7197,4966,25506,7493,3341,1763,4388,7023,9755,6616,8119,4060,5527,13860
"ACHE",4722,42,10,972,14,1018,128,32,36,27,383,75,27,4062,1772,25,176,1251,318,32,29,46,538,32,3264,15762,35,270,586,6,33,13,37,27,30,27
"ACIN1",39170,37565,26651,40116,12380,23854,18906,32008,64798,24759,18058,16994,15348,20345,34312,30639,41762,26342,17043,28749,29442,44664,22955,28603,25945,51005,27341,24626,20550,32512,49467,12856,13465,20681,13445,32410
"ACKR2",1504,22,6,23,17,26,43,45,192,53,40,15,8,70,4313,29,0,37,0,132,10,29,11,37,8,1435,83,67,158,26,90,24,1406,15,8290,32
"ACKR3",14952,557,192,107,38,21,12,19,44,4,875,11,0,13655,8,9,12,9,1,4,27,13,7110,77,18,40152,85,35,21250,14,176,6,14,0,3289,17
"ACKR4",14,231,28,46,58,67,32,1726,12,1577,27,101,24,12,10,654,16,363,58,38,95,55,1132,200,36,26,288,36,8,17,34,39,25,1721,16,893
"ACLY",48267,54302,29907,56850,37926,44109,28546,46192,87413,25943,57517,68034,65947,53267,9027,24132,87985,33066,48418,59233,182620,30054,70062,52992,60831,59949,16796,71479,38395,59199,63476,48232,18511,42685,33353,69930
"ACMSD",8,27,2,5,95,1,0,7,5,56,3,156,2,5,4,81,4,16,499,3,2,2,6,2,0,11,4,3,4,4,2,0,2,107,1,4
"ACO1",6121,15128,14792,5409,2256,17234,3655,16994,10934,2770,17936,5224,11032,9311,10286,7967,7181,11899,12250,6040,16780,5729,7802,8926,17670,7808,3860,5405,5222,11279,15768,12616,7825,14742,3713,5853
"ACO2",9093,6457,6930,6385,9464,26999,13216,19803,12765,10011,10073,11753,8287,9719,9565,23786,18589,12838,9097,13661,26658,7744,20343,13203,13199,16577,7254,9009,15180,21121,10634,13108,6207,16210,7075,8482
"ACOT1",782,916,559,518,435,508,553,652,529,630,747,94,343,147,13,521,2094,290,261,910,696,1269,364,4,821,379,841,831,30,1124,384,306,175,721,573,1156
"ACOT11",4093,42,275,1106,1343,7476,472,8133,213,5997,1173,1814,12,500,312,5535,384,4214,2389,4147,4216,7694,213,2603,106,14302,5017,294,3076,2,3699,2264,930,2586,658,4138
"ACOT13",2672,1776,1205,3247,773,3804,4527,3848,3236,1746,4771,1679,2623,1541,3885,2353,3036,4000,2524,3904,2827,2602,4163,1486,1419,4925,1381,2327,2872,4140,2593,2248,3137,4378,1792,4388
"ACOT2",3468,4158,2598,2862,668,2519,3225,3000,2071,3595,2377,989,3182,885,16,3885,11841,1403,2440,7126,2829,6227,2072,20,3878,1862,4204,4734,161,7781,1324,1341,1073,5225,2985,4752
"ACOT4",581,35,36,188,1,27,2,34,416,105,418,91,4,141,1,5,4,263,85,1802,293,1236,262,2,335,562,6,406,675,9,3,3,167,406,375,1307
"ACOT7",9025,6295,9658,8205,3478,14701,5195,8181,8257,3959,27641,4045,13885,23605,7535,2747,10892,6851,1048,11774,17719,6210,12430,18261,16135,7774,5167,4002,13868,35942,13169,7290,15797,5770,7859,9246
"ACOT8",2901,2544,856,2559,810,2244,1926,3030,12394,1450,3022,574,1823,5050,3874,2972,1449,3432,1040,1855,2306,1284,2120,2918,1923,4750,1543,4314,6647,2295,2406,2155,3207,1859,2622,2762
"ACOT9",3754,15190,13590,2605,1854,4760,9839,8244,1571,4699,5904,4147,9101,9451,13465,5696,2494,3300,992,5970,11870,5908,8872,8509,10584,4793,4609,5993,9033,10855,28654,12783,11448,3507,6872,6437
"ACOX1",12829,10583,3055,5284,5117,13628,4351,17740,8214,9541,11417,5500,4284,3442,15557,5395,4093,7786,14519,7735,18811,14796,18828,7744,7415,21510,15228,10007,9004,7498,12461,10757,4663,8278,6626,14302
"ACOX2",81,4351,40,3736,7,3,14,135,184,75,1305,22,321,48,0,11,5,511,10,836,2,8,96,3,570,110,5,3,13,3495,10,14,10,41,4,786
"ACOX3",1218,3885,1448,1214,338,1085,453,3053,795,1752,3061,1225,542,2117,917,2012,691,1255,567,985,2022,1944,2208,1229,1318,2431,1511,2002,2167,2376,3250,1251,787,1392,754,839
"ACOXL",543,3,1,15,5,12,316,9,7,8,3,2,4,40,1959,15,2,33,88,55,636,4,8,9,2,432,37,21,1374,3,24,5,1178,19,561,26
"ACP1",15103,9572,10174,11389,6613,24347,16082,18214,23620,12754,21762,4725,11750,12491,24574,9696,18863,21969,19909,20175,30643,13202,24803,14984,17144,31627,17447,12406,7609,19641,14779,17137,17774,19705,20652,8872
"ACP2",5584,4016,3343,4961,863,2307,5116,3278,9763,2176,214,4404,5753,4922,4944,4356,3154,6864,2901,2176,4763,2985,3806,3415,6420,7375,1449,7812,4728,4264,10998,4087,2357,4414,5965,2534
"ACP5",49,509,32,3803,17,23,15,69,1462,480,34,189,7,143,14,67,15,56,75,270,44,181,28,22,14,44,13,32,281,21,19,57,53,21,11,37
"ACP6",3489,913,726,2834,3206,144,5958,5614,6157,6633,2343,3585,1161,2469,2469,4458,685,4705,2306,3889,6396,4140,2469,2934,1920,2883,6037,2209,2292,25,2239,3303,3758,3037,2233,9995
"ACR",28,0,0,54,6,1,21,2,34,9,3,4,15,11,18,3,2,7,6,4,9,3,0,3,0,29,0,0,51,17,0,1,0,1,7,4
"ACRBP",89,46,18,754,457,61,29,114,621,204,102,104,56,53,168,48,10,54,151,152,94,207,143,51,185,450,188,53,61,33,32,11,31,4955,63,138
"ACRV1",36,96,70,132,2,44,43,44,139,22,69,56,28,41,52,142,82,79,21,114,127,67,51,54,49,37,24,21,11,106,95,93,102,57,30,65
"ACSBG1",2403,38,22,47,1153,123,24,29,29,32,80,86,47,38,22,80,31,28,11,73,205,83,19,87,26,178,34,58,25,41,73,39,31,33,33,66
"ACSBG2",20,35,2,51,11,46,8,24,35,8,23,44,13,29,113,15,45,14,4,43,39,21,20,13,12,18,9,29,9,43,45,14,18,11,28,15
"ACSF2",13889,3148,477,1657,1118,19,1057,5680,155,3606,17434,982,2311,7042,9873,5477,1425,2796,1190,4634,5724,1324,820,4213,5701,18734,3503,17088,13219,2055,5491,1683,3673,2146,4878,1422
"ACSF3",3930,2295,1154,1703,2031,2297,3474,5035,3522,3057,3078,1106,1570,2261,1820,1564,2240,1579,788,4525,6582,2387,3173,2730,3562,3877,3162,2740,4851,4763,2503,1567,741,1979,1584,2142
"ACSL1",7808,5665,3992,7971,56350,95766,9670,23266,8769,1566,814,2255,1714,10714,21669,20881,23815,10921,14851,23875,51629,422,1423,4216,6359,20679,3407,5437,3764,5830,5193,42694,4049,42589,1102,15716
"ACSL3",10467,15751,15607,6188,20366,21759,30374,33518,18970,11447,32830,13178,38330,37407,36194,26728,23100,20983,30415,26080,51336,14520,19270,21042,35848,24085,23298,20970,34961,34899,35093,23089,30607,25044,28578,37826
"ACSL4",2132,49005,14375,8320,12978,156,9782,10252,10659,496,123335,25951,6622,13422,8262,20070,6834,6580,9898,8929,11885,6722,1973,6080,36106,1526,9135,4492,5688,9696,13455,16320,8817,16941,12757,18240
"ACSL5",1959,72048,3016,73,2487,57818,45,87097,57,41793,50,873,7775,1991,79,39342,22,36564,29353,7238,10188,23212,45930,37275,322,871,61975,331,9374,56,566,39265,3231,10232,80,10728
"ACSL6",64,18,2,2410,41,10,1,2,115,2,41,27,4,80,15,158,2,1,22,3,9,34,23,9,34,51,14,12,89,5,10,6,4,1,5,11
"ACSM1",68,1,4,3,4,14,6,83,6,15,27,23,2,9,20,6,1,12,21,8,105,2,7,11,4,111,25,26,22,2,49,0,7,14,7,117
"ACSM2A",1,0,1,0,2,3,1,0,2,0,35,501,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0
"ACSM2B",0,0,0,0,0,0,0,0,5,0,31,432,0,1,1,1,0,0,0,0,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1
"ACSM3",707,409,60,27,329,8667,23,3152,19,13518,1321,4032,7,159,56,2097,132,1443,21809,1207,3376,451,2021,689,19,911,945,493,182,28,324,3503,10,9240,426,2673
"ACSM4",3,12,4,10,8,3,3,1,2,1,5,0,1,16,2,1,3,0,4,2,11,6,1,5,2,6,2,1,16,5,3,3,5,4,5,2
"ACSM5",1,3,8,1,0,0,0,0,6,0,3,37,0,89,1,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,32,0
"ACSS1",6339,836,1294,1661,3556,8369,2956,34935,47,7860,3610,2456,3539,8556,4962,78319,363,25939,21133,8210,1274,1106,15624,8323,2686,7935,9213,1187,4022,21,529,10903,943,9171,2596,11929
"ACSS2",9201,5219,1626,11484,19773,31529,43400,20106,3316,4922,23400,8422,4921,8051,14330,6652,3994,22677,2710,35873,6891,1122,10365,13235,10927,14947,6930,9563,9027,3544,10784,8755,9950,19243,11251,4393
"ACSS3",1952,910,677,75,30,4,34,0,5621,2,2,2488,1,2174,91,2,1170,3,0,0,6,6,5,6,6,4224,4,8,2,2,2,1,0,4,473,3
"ACTA1",108,22,46,70,17,41,11,27,79,11,26,4,14,24,66,2,35,26,10,10,43,24,38,35,37,117,11,25,33,55,52,14,19,33,24,13
"ACTA2",495,726,105,357,44,2348,6,147,44,971,4,67,31,264,398,38,1680,794,538,25,37,937,743,83,61,142,1210,58,691,142,546,41,106,706,11,356
"ACTA2-AS1",4,32,41,16,76,9,12,12,6,35,0,21,10,9,32,22,7,55,3,7,36,43,82,16,80,0,15,0,5,9,29,3,16,30,6,73
"ACTB",360094,512449,848908,222107,83571,511637,243491,354336,298410,409757,559179,165986,574753,500428,463701,192223,350089,429161,170561,241305,553945,280751,630337,751370,410416,557353,151497,538193,576260,809206,975262,612700,553308,347513,506638,417203
"ACTBL2",10,11,8,3,3,4,21,0,3,2,0,0,70,1286,338,2,0,17,9,0,82,18,0,41,6,16,1,31,166,1,179,10,443,1,384,33
"ACTC1",58,1,12,1,4,23,1,22,1,3,0,35,8,61,27,1,0,1,0,2,7,2,36,20,27,3041,27,19,78,2,3,0,1,0,2,6
"ACTG1",279494,585347,418073,242984,112234,167550,437278,302984,194370,424496,232166,163515,314102,357259,278157,292280,99357,179381,285585,311452,446180,257954,300862,263162,326948,339506,168686,402492,356199,580804,459421,243086,240115,183428,151486,262037
"ACTG2",222,3,5,22,6,6,10,7,12,5,1,2,14,87,6,3,7,13,5,2,24,15,12,13,1,58,5,14,78,3,542,1,25,5,7,11
"ACTL10",431,85,114,326,118,960,554,943,155,194,46,166,17,61,93,490,11,319,366,1154,275,273,249,132,522,346,13,53,92,41,19,430,151,743,368,293
"ACTL6A",14480,15802,16168,9196,4494,22635,15136,19470,21197,21521,27466,6138,13110,12668,21905,16732,12775,25860,7658,9611,31417,12573,26410,27659,10314,19347,9696,14793,10482,17200,16133,20714,13647,13538,9337,19021
"ACTL6B",5,5,2,24,1,1,1,3,3783,2,6,2,4,5,7,1,0,2,0,2,2,2,3,4,6,8,3,21,4,2,3,2,0,4,4,8
"ACTL7B",0,5,0,17,12,5,4,7,9,0,0,1,1,4,9,10,6,0,0,4,8,4,6,4,2,5,0,0,2,16,0,4,3,1,2,0
"ACTL8",105,17,8,82,83,0,21624,42,11,15,47,1322,50,19,0,30795,47,59,490,281,58185,121,15,93,127,6,1,0,20,74,331,2671,10,40,11,406
"ACTN1",53861,124342,72541,23279,16422,242,22765,58073,40985,28635,28974,21007,106737,43622,29579,63930,37085,24642,14102,20486,84101,61799,27883,56956,81441,58997,29193,76510,127462,40362,139240,31346,48055,27951,79982,37987
"ACTN2",30,2,2,7,3,2,11,8,101,3,5,140,5,10,21,3,208,0,0,2,10,1,5,13,4,18,2428,4,6,2,12,2,8,0,255,2
"ACTN3",1189,5,7,110,16,9,13,4,96,7,24,60,5,11,10,11,24,4,7,12,14,6,8,7,7,4,9,13,14,12,8,7,8,3,10,6
"ACTN4",168754,108944,101875,62650,35757,82429,144803,93463,94557,155409,76419,155317,121929,207871,85792,51758,30480,106629,70572,73187,337661,57154,268318,202506,50088,280370,77475,137980,183526,49944,244929,184366,122478,99336,87050,96622
"ACTR10",6887,14871,5780,3942,3633,4512,4272,9143,8534,4519,5043,1949,5851,4021,7882,5441,8688,3627,1894,5583,11203,6031,5199,4882,6021,11546,5050,11936,6214,7573,10495,5017,5912,3778,6713,6786
"ACTR1A",5756,34864,18662,12654,4969,19550,11867,12945,21244,9786,15063,10932,11150,12229,25335,8152,32575,16955,7000,6243,29551,12898,19054,15690,12199,12799,7979,14181,15523,12124,17788,12099,12195,10968,7843,14284
"ACTR1B",5940,2856,6305,9625,3188,7477,8436,16325,18540,6585,4059,1667,3439,9397,21358,7452,5671,4797,6401,9226,14436,5853,6981,5017,5705,9036,6712,8908,10612,8167,5938,2380,6130,8628,3695,5134
"ACTR2",56080,72142,50550,34752,25513,48001,65317,54031,63464,46254,50617,60656,60509,77267,68701,57641,75627,52660,60434,39946,106789,49426,68005,71973,52572,71507,59051,45848,75216,76586,107750,64775,77140,43593,45745,75116
"ACTR3",66930,48937,57490,20087,11566,30828,19577,39922,35631,23537,24760,13967,33227,40123,55170,36212,28721,27795,30926,26989,63005,21267,56362,45924,42640,36885,18766,38503,36494,37424,63830,20261,43030,23426,13789,46203
"ACTR3B",1683,953,851,4142,1714,6011,2160,3340,3978,2646,2281,1983,960,3454,2053,8446,5099,3758,1901,4298,1933,2791,4242,1927,1094,1531,2721,1831,959,1638,1178,1987,1341,6288,929,4169
"ACTR3C",573,206,2121,356,474,1214,407,1157,462,466,686,1015,201,513,164,2058,356,577,1466,310,686,658,104,746,204,188,1047,1063,411,223,1196,456,213,476,1011,597
"ACTR5",5493,3113,1195,3884,1056,2444,5644,4507,2243,1317,2602,2028,1879,1921,3109,6275,2421,2774,721,2652,6181,1147,1451,4079,3071,3359,4112,2688,2792,4364,4221,4914,4674,2767,3682,3541
"ACTR6",2511,4579,2334,2786,3841,3403,6360,3396,5897,3791,3488,2547,1402,4021,2740,4132,2392,3693,2278,2338,6339,2346,3024,3617,7035,3494,2485,3198,3755,5906,4029,3124,3462,5974,2000,2509
"ACTR8",4017,6951,2436,6777,1729,2854,5863,4676,3621,5088,4382,2169,3097,4532,5828,3797,3782,2749,1319,2279,4053,3548,3487,3745,3670,9090,2803,4808,3435,5536,6415,2603,2299,3253,3085,4606
"ACTRT3",10,688,365,1,28,148,299,330,23,259,81,323,10,353,205,16,200,13,105,136,217,307,441,446,252,15,31,252,321,4,8,107,147,7,180,475
"ACVR1",748,11772,2273,2685,1325,3815,2640,3094,3643,1548,6717,2466,3835,3892,8840,3549,1238,1997,4428,1751,3692,1691,1545,3208,1758,4886,3118,2572,4292,3672,7114,2487,3275,2134,1546,1907
"ACVR1B",17466,5981,2937,9361,4738,5509,9678,10064,14477,10718,29381,14684,4923,3975,8707,6536,4073,10418,15037,7389,13139,4031,2932,7415,2920,20525,8354,5225,13825,4983,10142,6512,2851,3471,2347,9460
"ACVR1C",218,596,40,356,850,392,1292,144,20769,12,274,101,4,172,807,384,25,229,383,25,936,15,7,1491,3,8292,278,12,544,50,447,58,414,2612,498,34
"ACVR2A",1058,1680,575,2267,1387,2177,2075,2651,1468,1282,683,716,458,1226,3290,1694,629,2321,866,1998,4972,1100,660,1992,1306,7040,917,1243,1707,1647,4656,1029,1234,1626,687,1006
"ACVR2B",4753,1622,1253,10157,3045,1724,11238,4048,12832,2541,6213,3626,2063,1881,4277,2746,1464,1135,2012,2290,2363,1559,1385,926,1881,8124,2716,2427,1305,4316,3236,607,2467,2210,1121,3700
"ACVR2B-AS1",192,395,48,559,116,123,96,226,136,410,286,53,66,506,92,241,58,89,82,174,75,155,50,47,129,117,217,367,231,41,95,37,57,215,110,100
"ACVRL1",90,23,18,96,12,3,13,589,138,13,788,30,705,64,8,20,14,95,119,3,103,11,6,59,30,19,9,18,38,10,17,8,16,4,5,17
"ACY1",3861,2503,1639,4923,5210,13666,4606,10684,2423,17007,7299,1712,1969,4912,1679,5353,3583,11358,4160,8847,8261,19467,5551,4588,15808,7990,3927,6599,5502,12569,4458,4379,4478,20919,4074,10419
"ACY3",525,68,29,3,155,1274,3,719,11,478,547,311,14,52,2,354,226,942,1797,559,270,393,982,513,4,0,76,18,23,0,431,1149,10,1241,31,929
"ACYP1",873,1746,985,2992,1366,851,628,3649,2664,1411,338,214,1830,840,1262,3814,2950,1776,589,2274,3495,2935,2424,1674,849,1354,1539,2478,1031,2837,846,1001,2430,1822,945,1802
"ACYP2",1314,426,267,979,390,454,814,530,1287,193,136,356,553,1277,1477,667,656,1052,465,224,1897,654,378,552,313,1368,1160,594,1704,1263,266,346,85,853,695,250
"ADA",1992,1197,292,1120,720,19,4970,455,390,22,4179,598,4984,2209,615,1538,2965,475,60,443,2235,896,1503,1195,9407,2628,1109,588,4624,3275,3071,1475,3518,1733,5247,3396
"ADAD1",2,0,1,1,1,0,0,1,2,0,8,0,0,2,692,0,0,2,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,1
"ADAD2",45,11,0,1,1,0,1,1,3,1,0,1,0,1,1,1,0,0,0,0,8,2,2,1,1,123,1,0,54,0,0,2,0,2,0,1
"ADAM10",16624,28821,10391,16189,24495,33975,44749,32818,21463,32326,48001,23303,35185,26798,59026,11829,9135,12592,14732,19822,143237,40342,62431,30896,9082,54925,23402,60864,29693,175250,52026,29200,41323,30734,36204,20503
"ADAM11",1107,168,55,5062,151,89,909,251,135,236,295,728,419,1765,180,116,3090,32,138,88,711,27,336,36,917,603,183,408,484,2239,144,97,201,249,702,107
"ADAM12",31,25848,10718,22,80,40,14,45,5802,23,4,63,17,43,28,21,2,35,21,9,73,39,19,38,37,19,33,120,29,6,20,5,33,5,6,6
"ADAM15",9300,7205,15723,12480,7534,40032,7431,16978,5480,15416,8517,15015,8475,20147,5956,15236,40288,31002,14123,25998,47307,17524,14497,38453,38607,23350,11278,13673,16928,29875,38975,32251,25665,16835,25167,10507
"ADAM17",8060,7469,6570,3929,3460,3653,7743,4265,5505,3006,8618,9562,4711,14026,17406,4085,4157,6216,4521,4187,12101,3370,5999,6124,5786,32711,4241,6827,6745,9043,8917,7447,16921,3934,12225,5141
"ADAM18",8,2,0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,63,0,0,8,0,33,32,2,6,18,0
"ADAM19",667,8421,10451,1423,105,25,882,30,2938,584,7744,1756,13093,2080,18,53,58,21,11,12,1712,3320,23,55,27,573,88,1657,6634,24,47,197,3011,185,7532,520
"ADAM20",22,25,6,25,23,2,12,10,10,6,0,14,6,17,48,22,4,6,6,6,36,23,15,2,2,62,5,31,3,16,6,6,12,10,23,6
"ADAM20P1",21,21,1,25,0,2,18,5,10,3,1,0,4,15,52,7,7,5,1,6,24,5,3,2,6,100,1,44,8,25,6,3,0,2,12,5
"ADAM21",94,270,16,75,0,7,13,10,71,10,39,31,34,168,57,71,32,44,0,3,137,20,42,10,2,139,8,21,63,193,90,2,58,107,110,10
"ADAM22",654,879,286,6819,2211,383,6409,81,3273,87,107,5160,53,1964,76,50,6923,24,288,244,129,165,342,37,1674,373,6931,1252,972,5432,57,23,714,3068,192,2322
"ADAM23",2659,26,317,16,24,15,11,20,83,6,1048,13,26,1185,30,11,3250,12,7,10,71,14,21,27,22,5590,1,82,1937,14,66,11,70,11,226,487
"ADAM28",107,49,120,2,9,129,19,5450,6,1240,0,387,6,13,10,18,6,3613,384,243,171,4981,3,27,6,2910,5,6,1717,0,6,726,65,3980,401,520
"ADAM32",41,108,94,117,11,55,40,74,40,13,8,92,97,51,355,75,16,31,29,35,122,105,22,32,1,142,45,29,22,378,221,114,115,45,215,9
"ADAM33",317,2,3,4,7,3,3,8,17,1,2131,314,3,55,4,7,11,4,4,2,4,1,5,6,85,540,5,9,19,7,4,5,2,2,10,5
"ADAM8",666,1346,982,700,432,734,444,896,296,335,410,396,163,618,25531,421,327,580,2284,324,1624,1506,124,8055,3228,559,431,1111,8970,1134,449,371,17937,52,4052,1474
"ADAM9",19857,70832,83387,12513,19495,60480,24243,96228,11994,35092,41104,35519,94570,31780,45911,51886,15743,66511,29214,16939,26313,51644,105952,109185,20237,110534,23388,33782,24541,27560,189095,86100,76587,57277,81753,41515
"ADAMTS1",10793,51796,22391,33,139,57,76,51,6140,21,21,386,14,174,13,19,3213,115,4,33,38,56,45,63,13056,28136,48,194,2476,24,30,10,52,14,2,8
"ADAMTS10",403,9,3,11585,10,15,1037,15,29,5,35,1211,28,1165,21,5,1456,3,4,8,12,10,22,29,30,34,6,230,80,10,18,20,6,10,11,51
"ADAMTS12",30,866,1428,23,37,7,17,6,506,6,35090,14658,16148,742,4,13,64,18,6,5,47,22,3,10,11,33,21,3996,995,16,16,10,23367,73,123700,22
"ADAMTS13",2264,938,74,4818,865,238,730,4478,720,405,1071,923,221,1409,518,1179,842,404,859,655,3161,587,675,149,510,664,1003,605,2030,2004,253,114,105,390,520,590
"ADAMTS14",50,1270,15,1718,616,8,84,18,16,6,3339,20,125,4489,10,93,1896,1250,152,4,3689,6132,11,147,3,56,4,92,43,16,273,68,3,5,24,174
"ADAMTS15",2655,1156,28,243,113,28,69,23,49,6,18,7071,4436,17980,30,15,197,9,3,4,814,2715,27,34,18,24811,9,32,3103,131,11,251,16,3,2,906
"ADAMTS16",7,1971,1393,14,5,15,30,11,8,0,14,0,508,1579,2451,50,1,5,0,0,26,4,8,28,10,986,4,2911,875,9,584,4,714,2,1032,2
"ADAMTS17",2262,255,54,214,15,335,788,17,13,192,158,340,79,547,486,537,461,2,1,1418,624,82,90,105,109,3560,9,515,58,109,24,1062,136,224,251,315
"ADAMTS18",6343,186,5,10,0,0,38,0,0,1,7,2,2,4,8,3,0,2,1,8,5,0,1,2,2,4674,6,4,36,5,6,1,2,1,2,2
"ADAMTS19",1220,7,1,0,2,1,0,0,4,2,0,7,0,7,0,4,3752,0,0,2,10,0,0,0,2,1,2,2,0,3,21,2,0,0,0,1
"ADAMTS19-AS1",40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0
"ADAMTS2",63,43,3300,48,45,30,259,27,30,4,614,19,11589,2406,23,34,3409,89,7,11,41,118,28,47,40,22,32,35,25,12,8,55,9,80,8,56
"ADAMTS20",969,126,5,5,19,5,47,2,319,0,172,89,1,105,818,5,3272,0,1,1,2,0,12,0,0,1154,695,33,322,3,7,55,2,13,38,0
"ADAMTS3",168,1166,707,7,7,4,10,7,37,2,1,3281,2,154,0,2,1460,2,4,1,8,3,10,2,2,271,2,44,25,5,13,2,14,4,4,4
"ADAMTS4",8,11,832,160,6,11,11,6,16,4,24,72,8,16,10,11,3148,7,5,1,37,11,22,12,47,13,9,13,30,37,11,11,15,46,16,20
"ADAMTS5",452,6,346,4,26,6,4,14,4070,1,3,103,1,10,0,0,1084,6,0,2,5,3,10,13,15,3706,6,43,7,5,3,2,4,7,4,1
"ADAMTS6",281,9761,18185,48,91,110,205,27,4943,85,8,370,733,163,97,286,110,54,115,17,306,31,89,124,30,262,8231,2211,531,200,626,9,461,67,2650,17
"ADAMTS7",363,474,9,2905,14,14,140,14,5,2,801,127,279,2458,73,7,464,29,18,4,865,82,183,13,2933,787,1,58,2141,224,26,5,49,0,133,249
"ADAMTS8",409,2,1,12,2,7,145,6,7,11,5,3747,4,182,4,4,6,10,5,1,36,19,6,12,4,103,3,5,32,0,4,4,5,13,2,118
"ADAMTS9",119,433,95,122,36,7,8,206,5430,3825,3321,15839,140,53,1615,862,4759,8,2110,18,31,4,10,14,1558,305,1606,10753,675,3028,53,4,31,103,997,299
"ADAMTS9-AS1",0,5,1,1,0,0,0,0,8,9,21,75,1,0,3,2,0,2,6,0,0,0,0,0,5,0,3,39,0,5,4,0,0,0,0,0
"ADAMTS9-AS2",5,27,0,0,3,2,2,1,8,4,8,310,0,8,19,0,20,0,17,0,1,0,2,0,5,11,4,198,13,0,1,0,0,0,1,0
"ADAMTSL1",27,81,12314,188,81,13,7,11,8074,1,4,390,76,27,14,3,1793,28,1,4,14,19,15,22,6,103,8,70,14,6,15,10,5,0,114,8
"ADAMTSL2",5,10,3,5192,8,9,1918,18,14,12,7,7,15,49,175,4038,51,4,758,10,2877,75,10,47,5,13,653,10,24,11,345,233,19,13,10,13
"ADAMTSL3",7,186,291,2,14,5,3,6,7,2,0,2,365,338,6,6,1275,0,1,4,6,3,8,2,2,21,3,334,7,4,2,7,2,0,5,1
"ADAMTSL4",11095,287,1020,94,318,145,205,320,2671,137,5199,677,4082,7543,5075,286,75,936,458,77,4360,3625,1281,238,12852,118763,422,1138,21875,812,134,530,1598,94,49118,2488
"ADAMTSL4-AS1",35,20,0,11,9,26,0,27,25,3,3,46,4,9,10,12,17,8,7,6,30,22,4,8,29,63,38,12,11,17,28,5,11,5,24,62
"ADAMTSL5",2474,1807,1382,385,1055,100,1228,883,22,1598,456,205,768,2585,2334,1899,2413,1038,633,564,3431,3572,367,1740,464,3888,649,1088,2468,3431,2261,698,298,3218,978,1286
"ADAP1",1019,13,68,1040,443,14601,4614,11900,35,10741,155,361,189,904,2454,4939,516,6278,12104,2243,6448,4262,11668,4888,1042,1890,11135,5347,1987,890,1094,7988,2293,3914,1212,3093
